"","Year","Genre","NA_Sales","EU_Sales","JP_Sales"
"376",2009,"Adventure",0.08,0.01,0
"385",2005,"Strategy",0,0.33,0
"386",2009,"Strategy",0.01,0.13,0
"387",2007,"Strategy",0,0.02,0
"388",2007,"Strategy",0,0.05,0
"390",2000,"Strategy",0.02,0.1,0
"391",2000,"Strategy",0.02,0.1,0
"392",2008,"Strategy",0.17,0.03,0
"393",2006,"Strategy",0.18,0.02,0
"394",2006,"Strategy",0.19,0.02,0
"395",2002,"Strategy",0.02,0.06,0
"396",2004,"Strategy",0,0.01,0
"397",2003,"Strategy",0.03,0.02,0
"400",2002,"Sports",0,0,0
"401",2002,"Sports",0.04,0.01,0
"402",2002,"Sports",0.17,0.13,0
"403",2002,"Sports",0.05,0.01,0
"407",2009,"Adventure",0,0,0.08
"408",2009,"Adventure",0,0,0.08
"409",2001,"Role-Playing",0.08,0.02,0
"422",2007,"Adventure",0,0,0.02
"425",2009,"Simulation",0.05,0,0
"435",2007,"Simulation",0.05,0,0
"436",2008,"Simulation",0.05,0,0
"439",2001,"Sports",0.11,0.09,0
"440",2002,"Sports",0.11,0.09,0
"441",2005,"Shooter",0.06,0.05,0
"442",2005,"Shooter",0.06,0.05,0
"443",2002,"Shooter",0.02,0.01,0
"444",2002,"Shooter",0.02,0.01,0
"445",2001,"Shooter",0.14,0.04,0
"446",2001,"Simulation",0.14,0.04,0
"447",2004,"Simulation",0.05,0.04,0
"448",2004,"Simulation",0.05,0.04,0
"449",2000,"Simulation",0,0.01,0
"450",2001,"Simulation",0,0.01,0
"457",2008,"Adventure",0,0,0.01
"458",2008,"Adventure",0,0,0.06
"459",2009,"Adventure",0,0,0.01
"460",2008,"Adventure",0,0,0.02
"463",2008,"Adventure",0,0,0.03
"496",2006,"Misc",0,0,0.04
"497",2006,"Misc",0,0,0.04
"504",2006,"Action",0.06,0,0
"508",2005,"Racing",0.01,0.01,0
"509",2006,"Racing",0.01,0.01,0
"512",2004,"Action",0.05,0.04,0
"513",2004,"Action",0.04,0.01,0
"522",2004,"Shooter",0.07,0.02,0
"523",2004,"Shooter",0.05,0.04,0
"524",2004,"Shooter",0.05,0.04,0
"525",2009,"Sports",0.09,0,0
"526",2000,"Shooter",0.09,0.06,0
"527",2007,"Role-Playing",0.07,0,0
"528",2007,"Role-Playing",0.06,0,0
"543",2001,"Action",0.03,0.01,0
"544",2009,"Action",0.05,0,0
"545",2009,"Action",0.07,0,0
"547",2003,"Strategy",0.09,0.07,0
"548",2003,"Strategy",0.06,0.02,0
"552",2007,"Action",0.03,0.12,0
"553",2007,"Action",0.03,0.12,0
"558",2004,"Misc",0.13,0.05,0
"559",2004,"Misc",0.17,0.06,0
"560",2004,"Misc",0.17,0.06,0
"571",2008,"Sports",0.26,0,0
"572",2008,"Sports",0.43,0.29,0
"573",2009,"Sports",0.12,0,0
"575",2000,"Fighting",0,0,0.2
"576",2000,"Fighting",0,0,0.2
"578",2007,"Sports",0.14,0,0
"579",2007,"Sports",0.14,0,0
"580",2007,"Sports",0.24,0,0
"581",2007,"Sports",0.24,0,0
"583",2000,"Sports",0.22,0.01,0
"584",2001,"Sports",0.17,0.04,0
"585",2001,"Sports",0.27,0.21,0
"586",2002,"Sports",0.11,0.04,0
"587",2002,"Sports",0.12,0.03,0
"588",2002,"Sports",0.38,0.29,0
"589",2002,"Sports",0.19,0.06,0
"590",2003,"Sports",0.05,0.02,0
"591",2003,"Sports",0.06,0.02,0
"592",2003,"Sports",0.21,0.16,0
"593",2003,"Sports",0.1,0.03,0
"594",2004,"Sports",0.16,0.12,0
"596",2004,"Sports",0.11,0.03,0
"601",2001,"Sports",0.01,0,0
"604",2008,"Adventure",0,0.01,0
"605",2008,"Adventure",0.03,0.02,0
"606",2008,"Adventure",0.09,0.08,0
"607",2008,"Adventure",0.14,0.3,0
"608",2008,"Adventure",0.09,0.08,0
"609",2008,"Adventure",0,0.01,0
"610",2008,"Adventure",0.09,0.03,0
"613",2001,"Adventure",0.09,0.06,0
"620",2003,"Shooter",0.06,0.05,0
"621",2003,"Shooter",0.04,0.01,0
"624",2002,"Action",0.07,0.02,0
"628",2000,"Role-Playing",0.15,0.1,0
"629",2007,"Misc",0.12,0,0
"630",2007,"Misc",0.04,0.03,0
"631",2007,"Misc",0.05,0,0
"632",2007,"Misc",0.05,0,0
"639",2009,"Misc",0.27,0,0
"640",2009,"Misc",0.28,0,0
"641",2009,"Misc",0.09,0,0
"642",2009,"Misc",0.09,0,0
"644",2009,"Adventure",0,0,0.13
"648",2007,"Adventure",0,0,0.02
"651",2008,"Adventure",0.13,0.08,0
"652",2004,"Strategy",0.04,0.01,0
"654",2005,"Shooter",0.19,0.05,0
"655",2007,"Shooter",0.08,0,0
"659",2008,"Action",0.1,0,0
"664",2001,"Sports",0.03,0.01,0
"665",2001,"Sports",0.03,0.01,0
"666",2004,"Racing",0.35,0.01,0
"667",2004,"Racing",0.35,0.01,0
"668",2004,"Racing",0.11,0.03,0
"669",2004,"Racing",0.11,0.03,0
"670",2005,"Racing",0.04,0.01,0
"671",2005,"Racing",0.09,0.07,0
"672",2005,"Racing",0.09,0.07,0
"673",2005,"Racing",0.04,0.01,0
"674",2005,"Racing",0.04,0.01,0
"675",2007,"Adventure",0.1,0,0
"676",2008,"Adventure",0.42,0,0
"677",2003,"Misc",0.15,0.06,0
"678",2003,"Misc",0.27,0.21,0
"679",2005,"Adventure",0.02,0,0
"681",2003,"Sports",0.22,0.06,0
"682",2008,"Sports",0.06,0,0
"683",2007,"Sports",0.85,0,0
"684",2007,"Sports",0.84,0,0
"685",2008,"Sports",0.33,0,0
"686",2006,"Sports",0.01,0.01,0
"687",2006,"Sports",0.01,0.01,0
"688",2006,"Sports",0.01,0,0
"696",2003,"Sports",0.2,0.04,0
"697",2005,"Sports",0.13,0.02,0
"698",2005,"Sports",0.13,0.02,0
"699",2001,"Sports",0.69,0.11,0
"700",2001,"Sports",0.69,0.11,0
"701",2003,"Misc",0.09,0.07,0
"702",2002,"Platform",0.02,0.01,0
"703",2003,"Platform",0.02,0.01,0
"708",2006,"Action",0.13,0.1,0
"709",2006,"Sports",0.13,0.1,0
"710",2006,"Action",0.06,0.02,0
"717",2000,"Adventure",0,0,0.06
"718",2000,"Adventure",0,0,0.06
"742",2008,"Fighting",0.03,0,0
"743",2001,"Simulation",1.92,0.16,0.99
"744",2001,"Simulation",0,0,0.26
"747",2008,"Simulation",1.87,1.12,1.32
"750",2005,"Simulation",2.55,3.52,5.33
"751",2007,"Puzzle",0.1,0,0
"752",2007,"Puzzle",0.11,0,0
"753",2009,"Adventure",0.07,0,0
"754",2007,"Simulation",0.09,0.14,0
"755",2008,"Simulation",0.09,0.14,0
"756",2009,"Simulation",0.08,0,0
"758",2009,"Simulation",0.1,0,0
"759",2009,"Simulation",0.09,0,0
"760",2002,"Puzzle",0,0,0
"762",2005,"Platform",0.02,0.01,0
"763",2007,"Simulation",0.02,0,0
"764",2007,"Simulation",0.02,0,0
"765",2007,"Misc",0,0,0.01
"766",2000,"Action",0.03,0.02,0
"767",2007,"Simulation",0.07,0.06,0
"768",2008,"Simulation",0.07,0.05,0
"773",2009,"Adventure",0,0.03,0.03
"775",2009,"Misc",0,0,0.01
"778",2009,"Simulation",0.06,0.01,0
"779",2009,"Simulation",0.06,0.01,0
"780",2009,"Role-Playing",0,0,0.02
"781",2002,"Racing",0.02,0.02,0
"782",2002,"Racing",0.01,0,0
"783",2007,"Platform",0.06,0,0
"784",2007,"Platform",0.06,0,0
"787",2008,"Adventure",0,0,0.02
"794",2009,"Simulation",0,0.04,0
"799",2002,"Platform",0.12,0.09,0.38
"800",2003,"Platform",0.12,0.09,0.38
"801",2005,"Platform",0.06,0.05,0
"802",2006,"Platform",0.06,0.05,0
"803",2004,"Misc",0.13,0.15,0
"804",2006,"Party",0.13,0.15,0
"805",2004,"Misc",0,0,0.13
"806",2006,"Party",0,0,0.13
"807",2005,"Platform",0.52,0.01,0.12
"808",2004,"Misc",0.04,0.03,0
"809",2004,"Party",0.04,0.03,0
"810",2003,"Racing",0.1,0.03,0
"814",2007,"Adventure",0.32,0.06,0.64
"815",2008,"Adventure",0.28,0.05,0.64
"816",2000,"Puzzle",0.05,0.04,0
"817",2001,"Puzzle",0.05,0.04,0
"819",2009,"Puzzle",0.01,0.01,0
"820",2007,"Racing",0.03,0.03,0
"821",2003,"Action",0.01,0,0
"822",2003,"Action",0.01,0,0
"825",2008,"Adventure",0,0,0.04
"827",2008,"Simulation",0.05,0,0
"828",2008,"Simulation",0.05,0,0
"833",2007,"Role-Playing",0.04,0.03,0.11
"834",2009,"Role-Playing",0.04,0.03,0.11
"837",2006,"Role-Playing",0,0,0.1
"838",2007,"Role-Playing",0,0,0.1
"840",2009,"Adventure",0,0,0.01
"841",2007,"Adventure",0,0,0.02
"845",2009,"Role-Playing",0.13,0,0.06
"850",2004,"Role-Playing",0.03,0.02,0
"851",2005,"Role-Playing",0.03,0.02,0
"852",2003,"Role-Playing",0.18,0.14,0
"853",2002,"Action",0.16,0.11,0
"855",2008,"Shooter",0.18,0,0
"856",2009,"Misc",0.14,0,0
"862",2007,"Fighting",0.06,0.05,0.04
"863",2008,"Fighting",0.06,0.05,0.04
"872",2004,"Sports",0.02,0.01,0
"873",2004,"Sports",0.03,0.02,0
"874",2003,"Misc",0.05,0.02,0
"875",2004,"Misc",0.05,0.02,0
"876",2005,"Puzzle",0.17,0.24,0
"877",2009,"Simulation",0,0,0.01
"878",2007,"Adventure",0.13,0,0
"879",2007,"Adventure",0.13,0,0
"880",2007,"Adventure",0.04,0,0
"881",2007,"Adventure",0.04,0,0
"882",2001,"Racing",0.17,0.14,0
"883",2001,"Racing",0.09,0.02,0
"885",2007,"Misc",0.48,0,0
"886",2007,"Misc",0.48,0,0
"889",2009,"Puzzle",0.22,0,0
"890",2009,"Puzzle",0.25,0,0
"891",2009,"Puzzle",0.12,0,0
"892",2008,"Misc",0.36,0,0
"893",2008,"Misc",0.51,0,0
"896",2005,"Shooter",0.22,0.17,0
"897",2005,"Shooter",0.22,0.06,0
"898",2006,"Sports",0.28,0.22,0
"899",2006,"Sports",0.28,0.22,0
"900",2006,"Sports",0.11,0.03,0
"901",2006,"Sports",0.11,0.03,0
"902",2006,"Adventure",0,0,0.02
"903",2008,"Adventure",0,0,0.02
"906",2007,"Puzzle",0.06,0,0
"907",2008,"Puzzle",0.06,0,0
"908",2009,"Shooter",0,0.12,0
"909",2009,"Shooter",0,0.12,0
"912",2003,"Shooter",0.09,0.03,0
"918",2000,"Simulation",0.28,0.22,0.23
"919",2000,"Simulation",0.28,0.22,0.23
"920",2001,"Simulation",0.11,0.08,0.19
"921",2001,"Simulation",0.11,0.08,0.19
"922",2002,"Simulation",0.22,0.17,0.23
"923",2002,"Simulation",0.22,0.17,0.23
"924",2009,"Simulation",0,0,0.08
"925",2006,"Simulation",0.09,0,0.09
"926",2007,"Simulation",0.09,0,0.09
"927",2007,"Simulation",0.19,0.01,0.03
"928",2007,"Simulation",0.19,0.01,0.03
"929",2009,"Simulation",0,0,0.03
"934",2008,"Simulation",0.06,0.02,0.1
"935",2008,"Simulation",0.06,0.01,0.07
"936",2004,"Simulation",0.05,0,0
"937",2005,"Simulation",0.05,0,0
"938",2005,"Simulation",0.05,0.04,0.08
"939",2006,"Simulation",0.05,0.04,0.08
"942",2000,"Simulation",0.07,0.05,0.13
"943",2004,"Simulation",0.06,0.05,0.14
"944",2004,"Simulation",0.06,0.05,0.14
"945",2004,"Simulation",0.03,0.03,0
"946",2005,"Simulation",0.03,0.03,0
"949",2003,"Simulation",0.07,0.06,0.16
"954",2000,"Shooter",0.05,0.03,0
"957",2001,"Action",0.24,0.17,0
"958",2000,"Action",0.17,0.12,0
"959",2001,"Action",0.06,0.04,0
"961",2000,"Action",0.17,0.11,0
"962",2000,"Action",0.19,0.05,0
"963",2003,"Shooter",0.01,0,0
"964",2001,"Action",0.04,0.02,0
"965",2001,"Action",0.06,0.05,0
"966",2001,"Shooter",0.06,0.05,0
"967",2006,"Shooter",0.01,0,0
"968",2006,"Shooter",0.01,0,0
"969",2004,"Strategy",0.05,0.01,0
"970",2004,"Strategy",0.05,0.01,0
"971",2002,"Strategy",0.05,0.04,0
"975",2000,"Action",0.31,0.21,0
"976",2000,"Shooter",0.34,0.07,0
"977",2000,"Action",0.14,0.09,0
"978",2000,"Shooter",0.14,0.09,0
"979",2001,"Shooter",0.09,0.07,0
"980",2001,"Shooter",0.09,0.07,0
"981",2004,"Shooter",0.12,0.03,0
"982",2004,"Shooter",0.12,0.03,0
"983",2004,"Shooter",0.09,0.02,0
"984",2004,"Shooter",0.09,0.02,0
"985",2008,"Shooter",0.11,0,0
"986",2008,"Shooter",0.12,0,0
"987",2008,"Shooter",0.74,0.26,0.02
"988",2008,"Shooter",1.09,0.38,0.02
"994",2009,"Shooter",0.02,0,0
"996",2004,"Action",0.03,0.01,0
"1007",2006,"Fighting",0.02,0.02,0
"1008",2007,"Fighting",0.02,0.02,0
"1009",2007,"Adventure",0.03,0,0
"1010",2000,"Racing",0.03,0.02,0
"1011",2003,"Role-Playing",0.04,0.01,0
"1012",2003,"Role-Playing",0.04,0.01,0
"1014",2007,"Role-Playing",0,0,0.12
"1016",2009,"Sports",0,0.16,0
"1017",2009,"Sports",0,0.23,0
"1018",2009,"Sports",0,0.19,0
"1019",2007,"Platform",0,0,0.14
"1020",2002,"Fighting",0,0,0.01
"1024",2004,"Racing",0.31,0.22,0
"1025",2006,"Racing",0.09,0.04,0
"1027",2008,"Adventure",0.01,0.84,0
"1028",2007,"Action",1.91,2.01,0.09
"1029",2007,"Adventure",1.91,2,0.09
"1030",2007,"Action",3.28,1.64,0.07
"1031",2007,"Adventure",3.28,1.65,0.07
"1038",2009,"Action",2.54,1.95,0.21
"1039",2009,"Action",3.14,1.56,0.08
"1041",2009,"Action",0.15,0.11,0
"1042",2009,"Platform",0.15,0.11,0
"1076",2008,"Action",0.03,0.01,0
"1077",2008,"Action",0.27,0,0
"1078",2008,"Platform",0.03,0.01,0
"1079",2009,"Action",0.43,0.5,0.05
"1102",2004,"Action",0.02,0.01,0
"1110",2006,"Role-Playing",0.03,0,0
"1113",2004,"Action",0.04,0.03,0
"1114",2003,"Action",0.06,0.02,0
"1115",2004,"Action",0.06,0.02,0
"1116",2009,"Action",0.09,0,0
"1117",2009,"Action",0.09,0,0
"1118",2009,"Action",0.05,0.04,0
"1119",2009,"Action",0.05,0.04,0
"1120",2009,"Action",0.04,0,0
"1121",2009,"Action",0.04,0,0
"1122",2009,"Action",0.1,0,0
"1123",2009,"Action",0.1,0,0
"1126",2009,"Misc",0.03,0,0
"1129",2002,"Misc",0.13,0.05,0
"1130",2000,"Misc",0.1,0.07,0
"1131",2001,"Misc",0.1,0.07,0
"1132",2004,"Misc",0.33,0.01,0
"1133",2004,"Misc",0.19,0.05,0
"1134",2007,"Misc",0.08,0,0
"1144",2009,"Role-Playing",0.08,0,0.03
"1145",2009,"Role-Playing",0.08,0,0.03
"1156",2005,"Role-Playing",0.03,0.02,0
"1157",2006,"Role-Playing",0.03,0.02,0
"1158",2006,"Role-Playing",0,0,0.04
"1159",2007,"Role-Playing",0,0,0.04
"1160",2006,"Role-Playing",0.14,0.11,0
"1161",2007,"Role-Playing",0.14,0.11,0
"1162",2004,"Role-Playing",0.08,0.06,0
"1163",2005,"Role-Playing",0.08,0.06,0
"1171",2009,"Role-Playing",0.22,0.12,0.11
"1189",2004,"Sports",0.13,0.1,0
"1193",2005,"Puzzle",0.02,0.01,0
"1194",2005,"Puzzle",0.02,0.01,0
"1195",2006,"Sports",0,0,0.1
"1196",2006,"Sports",0,0,0.1
"1217",2001,"Racing",2.07,0.26,0
"1218",2002,"Racing",1.92,0.2,0
"1219",2002,"Racing",1.92,0.2,0
"1220",2004,"Racing",1,0.04,0
"1221",2004,"Racing",1,0.04,0
"1222",2006,"Racing",0.37,0.04,0
"1223",2005,"Racing",0.53,0,0
"1224",2005,"Racing",0.53,0,0
"1226",2009,"Racing",0.21,0,0
"1227",2003,"Racing",0.22,0.06,0
"1228",2003,"Racing",0.41,0.32,0
"1229",2003,"Racing",0.36,0.07,0
"1232",2005,"Racing",0.1,0,0
"1233",2005,"Racing",0.1,0,0
"1234",2002,"Racing",0.18,0.07,0
"1235",2002,"Racing",0.18,0.07,0
"1236",2000,"Racing",0.58,0.39,0
"1237",2007,"Racing",0.33,0,0
"1239",2003,"Racing",0.02,0.01,0
"1240",2002,"Racing",0.19,0.15,0
"1241",2003,"Racing",0.19,0.15,0
"1242",2004,"Racing",0,0,0
"1244",2008,"Role-Playing",0.11,0,0.12
"1245",2009,"Role-Playing",0.11,0,0.12
"1246",2006,"Adventure",0.3,0.01,0
"1247",2006,"Adventure",0.39,0.1,0
"1248",2006,"Adventure",0.1,0,0
"1249",2006,"Adventure",0.24,0.02,0
"1250",2008,"Adventure",0.11,0.01,0
"1251",2008,"Adventure",0.12,0.09,0
"1252",2008,"Adventure",0.17,0.01,0
"1253",2007,"Action",0.31,0,0
"1254",2007,"Action",0.21,0.16,0
"1255",2007,"Action",0.24,0,0
"1256",2007,"Action",0.11,0.01,0
"1259",2008,"Role-Playing",0.02,0,0
"1260",2008,"Role-Playing",0.02,0,0
"1273",2001,"Action",0.18,0.05,0
"1274",2001,"Action",0.18,0.05,0
"1275",2007,"Simulation",0.02,0,0
"1276",2006,"Misc",0.04,0,0
"1277",2008,"Action",0.04,0,0
"1282",2007,"Simulation",0.26,0.01,0
"1283",2007,"Simulation",0.26,0.01,0
"1286",2008,"Simulation",0.24,0,0
"1287",2008,"Simulation",0.24,0,0
"1288",2008,"Sports",0.12,0,0
"1299",2002,"Sports",0.31,0.11,0
"1300",2003,"Sports",0.1,0.03,0
"1301",2004,"Sports",0.24,0.19,0
"1302",2008,"Sports",0.12,0,0
"1303",2008,"Sports",0.01,0.01,0
"1304",2008,"Sports",0.04,0,0
"1305",2009,"Sports",0.11,0,0
"1306",2009,"Sports",0.08,0.07,0
"1307",2009,"Sports",0.1,0,0
"1308",2005,"Sports",0.25,0.09,0
"1309",2004,"Sports",0.13,0.05,0
"1310",2007,"Sports",0.07,0,0
"1311",2003,"Sports",0.14,0.05,0
"1312",2007,"Sports",0.07,0,0
"1313",2003,"Sports",0.29,0.22,0
"1314",2007,"Sports",0.02,0,0
"1315",2002,"Sports",0.4,0.15,0
"1316",2002,"Sports",0.2,0.05,0
"1317",2007,"Sports",0.02,0,0
"1318",2007,"Sports",0.03,0.02,0
"1319",2008,"Sports",0.07,0,0
"1320",2008,"Sports",0.08,0.07,0
"1321",2008,"Sports",0.2,0,0
"1322",2009,"Sports",0.03,0.02,0
"1323",2009,"Sports",0.16,0,0
"1324",2009,"Sports",0.1,0,0
"1325",2005,"Sports",0.02,0.01,0
"1326",2005,"Sports",0.1,0.08,0
"1327",2004,"Sports",0.04,0.02,0
"1328",2001,"Sports",0.07,0.05,0
"1329",2006,"Sports",0,0,0
"1336",2004,"Fighting",0.14,0.11,0
"1337",2004,"Fighting",0.09,0.03,0
"1338",2003,"Fighting",0.3,0.23,0
"1339",2003,"Fighting",0.13,0.04,0
"1342",2004,"Shooter",0.03,0.01,0
"1343",2004,"Shooter",0.03,0.01,0
"1344",2004,"Shooter",0.56,0.44,0
"1345",2004,"Shooter",0.56,0.44,0
"1346",2004,"Shooter",0.14,0.04,0
"1347",2004,"Shooter",0.14,0.04,0
"1348",2009,"Misc",0,0,0.03
"1349",2009,"Misc",0,0,0.03
"1352",2008,"Racing",0.1,0.08,0
"1353",2008,"Racing",0.12,0.06,0
"1365",2009,"Action",1.27,0.02,0
"1366",2009,"Action",0.21,0.16,0
"1367",2009,"Action",0.19,0.03,0
"1368",2009,"Action",0.6,0.03,0
"1369",2009,"Action",0.2,0.02,0
"1372",2008,"Adventure",0,0,0.01
"1373",2008,"Adventure",0,0,0.01
"1374",2007,"Adventure",0,0,0.02
"1375",2007,"Adventure",0,0,0.02
