"","Year","Genre","NA_Sales","EU_Sales","JP_Sales"
"18252",1988,"Shooter",0.47,0.03,0
"19821",1988,"Simulation",0,0.02,0
"19822",1989,"Simulation",0,0.02,0
"20128",1981,"Action",0.55,0.03,0
"20129",1982,"Action",0.55,0.03,0
"20187",1985,"Sports",0.18,0.23,1.53
"20205",1986,"Shooter",0.35,0.02,0
"20206",1989,"Shooter",0.4,0.39,0.36
"20496",1981,"Action",0.87,0.05,0
"20497",1982,"Action",0.87,0.05,0
"20774",1986,"Shooter",0.32,0.06,0.57
"20775",1988,"Shooter",0.32,0.06,0.57
"21136",1985,"Action",0,0,0.02
"21137",1986,"Misc",0,0,0.02
"21270",1987,"Sports",0.07,0,0
"21271",1988,"Sports",0.07,0,0
"21321",1987,"Sports",0.07,0,0
"21322",1988,"Sports",0.07,0,0
"21345",1985,"Platform",29.08,3.58,6.81
"21346",1988,"Platform",5.39,1.18,0.7
"21348",1988,"Platform",9.54,3.44,3.84
"21349",1986,"Platform",0,0,2.65
"21353",1989,"Platform",10.83,2.71,4.18
"21659",1985,"Fighting",0,0,1.05
"21660",1986,"Fighting",0,0,1.05
"21899",1989,"Action",3.38,0.44,0.31
"21900",1989,"Platform",3.38,0.44,0.31
"22011",1989,"Sports",0.75,0.3,0.9
"22012",1984,"Sports",0.48,0.11,1.56
"22096",1989,"Puzzle",23.2,2.26,4.22
"22097",1988,"Puzzle",2.97,0.69,1.81
"22144",1982,"Sports",0.52,0.03,0
"22145",1983,"Sports",0.52,0.03,0
"22448",1989,"Role-Playing",0,0,1.1
"22773",1986,"Action",3.74,0.93,1.69
"22905",1986,"Action",0,0,0.57
"24386",1986,"Shooter",0,0,1.2
"24387",1986,"Shooter",0,0,1.2
"24900",1987,"Sports",0.14,0.03,1.98
"25529",1986,"Sports",1.92,0.45,0.64
"25750",1985,"Platform",0,0,0.51
"25882",1982,"Action",0.58,0.04,0
"25883",1983,"Action",0.58,0.04,0
"25969",1984,"Shooter",0.18,0.06,1.27
"26001",1989,"Misc",0,0,1.28
"26037",1982,"Shooter",0.73,0.04,0
"26292",1987,"Adventure",2.19,0.5,1.61
"26510",1987,"Role-Playing",0.15,0,2.41
"26512",1988,"Role-Playing",0.1,0,3.77
"26809",1987,"Sports",0.12,0,1.3
"26810",1988,"Sports",0.1,0,1.08
